Age,City/PIN,IncomeBracket,HouseholdSize,OrderFreq,TypicalSpend,PrimaryMotivation,DietPattern,Allergies,NutritionImportance,BasketCombineInterest,HotSyncValue,PreferredDeliveryTier,ExtraFeeExpress,EcoSaverLikelihood_GreenCoins,LowCarbonPackagingImportance,ReturnPouch,BundleDealInterest,PreferredIncentives,AccessibilityFeatures,PainPoints,AdoptionLikelihood_30d
34,Delhi,50-75k,2,<1/mo,162,Other,Keto,"Peanuts,Shellfish",3,3,4,Express Fresh,69,3,3,Yes,3,Surprise free items,Larger text/UI,"Cold food,Sustainability concerns",1
29,Delhi,25-50k,1,1-3/mo,191,Time constraints,Calorie-controlled,None,2,3,4,Eco-Saver,0,3,2,Yes,3,"Targeted discounts,Surprise free items",None,None,2
37,Bengaluru,25-50k,4,1-3/mo,143,Convenience,None,None,3,4,4,Eco-Saver,0,2,3,No,2,None of these,"Voice-first ordering,Color-blind palette","Limited healthy options,Late deliveries",4
39,Jaipur,25-50k,3,3-5/wk,474,Health meals,None,None,2,4,3,Express Fresh,87,3,3,Yes,2,"Targeted discounts,Carbon-offset badges,Surprise free items",None,"Cold food,Confusing UI",3
29,Delhi,<25k,3,1-3/mo,86,Convenience,None,None,2,3,2,Eco-Saver,0,5,3,Yes,2,Targeted discounts,"Larger text/UI,Color-blind palette","Sustainability concerns,Confusing UI",3
23,Jaipur,>100k,3,1-3/mo,256,Convenience,None,None,4,3,4,Eco-Saver,0,2,4,Yes,2,"Carbon-offset badges,Targeted discounts",Courier empathy rating,None,4
21,Mumbai,<25k,2,1-2/wk,99,Variety,None,None,3,4,5,Eco-Saver,0,3,3,Yes,4,"Surprise free items,Targeted discounts,Carbon-offset badges","Courier empathy rating,Larger text/UI",High fees,3
32,Chennai,25-50k,6,1-3/mo,191,Time constraints,High-protein,None,2,2,1,Depends,0,2,2,Yes,3,"Streak cashback,Targeted discounts,Carbon-offset badges",Voice-first ordering,"Late deliveries,Limited healthy options,Sustainability concerns",3
21,Bengaluru,>100k,6,1-3/mo,164,Other,Calorie-controlled,None,3,4,4,Eco-Saver,0,3,3,Yes,3,Surprise free items,None,"High fees,Confusing UI,Sustainability concerns",2
31,Bengaluru,>100k,2,1-2/wk,141,Health meals,None,None,4,3,4,Eco-Saver,0,2,3,Yes,1,"Targeted discounts,Surprise free items",None,Limited healthy options,3
19,Bengaluru,<25k,1,1-2/wk,71,Other,Vegetarian,Shellfish,2,3,5,Express Fresh,53,2,4,Yes,5,Targeted discounts,"Courier empathy rating,Voice-first ordering",Confusing UI,4
46,Chennai,25-50k,1,>5/wk,174,Other,None,Gluten,4,4,2,Eco-Saver,0,2,4,No,3,"Surprise free items,Carbon-offset badges,Targeted discounts",None,"Sustainability concerns,Late deliveries,Confusing UI",4
44,Mumbai,<25k,1,<1/mo,141,Time constraints,None,Dairy,4,2,3,Express Fresh,90,2,3,Yes,3,"Surprise free items,Targeted discounts","Larger text/UI,Voice-first ordering","Limited healthy options,High fees,Sustainability concerns",3
33,Delhi,75-100k,3,3-5/wk,268,Time constraints,Calorie-controlled,"Gluten,Dairy",3,3,3,Express Fresh,63,2,5,Yes,5,"Surprise free items,Streak cashback,Targeted discounts",None,None,3
21,Hyderabad,50-75k,4,3-5/wk,90,Other,None,Gluten,2,3,4,Depends,0,5,4,Yes,3,None of these,"Voice-first ordering,Color-blind palette","Sustainability concerns,Cold food",4
37,Delhi,50-75k,3,1-2/wk,222,Convenience,None,"Shellfish,Dairy",4,4,3,Express Fresh,72,4,4,Yes,4,None of these,"Larger text/UI,Courier empathy rating","Limited healthy options,High fees,Cold food",5
40,Kolkata,>100k,3,3-5/wk,185,Variety,None,None,2,3,5,Eco-Saver,0,1,4,Yes,4,"Surprise free items,Targeted discounts","Larger text/UI,Voice-first ordering",High fees,3
30,Kolkata,>100k,1,>5/wk,308,Health meals,None,None,2,5,4,Depends,0,3,3,Yes,2,"Carbon-offset badges,Streak cashback",None,"Late deliveries,Cold food",3
33,Kolkata,25-50k,6,1-2/wk,281,Health meals,None,Shellfish,4,3,2,Depends,0,5,4,Yes,3,Surprise free items,None,None,4
43,Pune,>100k,3,>5/wk,243,Other,None,"Dairy,Soy",2,5,4,Eco-Saver,0,2,4,No,5,Carbon-offset badges,None,Sustainability concerns,5
